=== SZIMULÁCIÓ INDUL ===
Variáns: Fordított
Meccsek száma: 100
Játék 1/100 kész, eddig: Kezdő=0, Második=0, Döntetlen=1
Játék 2/100 kész, eddig: Kezdő=1, Második=0, Döntetlen=1
Játék 3/100 kész, eddig: Kezdő=2, Második=0, Döntetlen=1
Játék 4/100 kész, eddig: Kezdő=3, Második=0, Döntetlen=1
Játék 5/100 kész, eddig: Kezdő=3, Második=0, Döntetlen=2
Játék 6/100 kész, eddig: Kezdő=3, Második=1, Döntetlen=2
Játék 7/100 kész, eddig: Kezdő=3, Második=2, Döntetlen=2
Játék 8/100 kész, eddig: Kezdő=3, Második=2, Döntetlen=3
Játék 9/100 kész, eddig: Kezdő=3, Második=3, Döntetlen=3
Játék 10/100 kész, eddig: Kezdő=3, Második=4, Döntetlen=3
Játék 11/100 kész, eddig: Kezdő=3, Második=4, Döntetlen=4
Játék 12/100 kész, eddig: Kezdő=3, Második=5, Döntetlen=4
Játék 13/100 kész, eddig: Kezdő=3, Második=6, Döntetlen=4
Játék 14/100 kész, eddig: Kezdő=3, Második=7, Döntetlen=4
Játék 15/100 kész, eddig: Kezdő=3, Második=8, Döntetlen=4
Játék 16/100 kész, eddig: Kezdő=4, Második=8, Döntetlen=4
Játék 17/100 kész, eddig: Kezdő=4, Második=9, Döntetlen=4
Játék 18/100 kész, eddig: Kezdő=4, Második=10, Döntetlen=4
Játék 19/100 kész, eddig: Kezdő=4, Második=10, Döntetlen=5
Játék 20/100 kész, eddig: Kezdő=4, Második=10, Döntetlen=6
Játék 21/100 kész, eddig: Kezdő=4, Második=10, Döntetlen=7
Játék 22/100 kész, eddig: Kezdő=4, Második=11, Döntetlen=7
Játék 23/100 kész, eddig: Kezdő=4, Második=11, Döntetlen=8
Játék 24/100 kész, eddig: Kezdő=5, Második=11, Döntetlen=8
Játék 25/100 kész, eddig: Kezdő=6, Második=11, Döntetlen=8
Játék 26/100 kész, eddig: Kezdő=6, Második=11, Döntetlen=9
Játék 27/100 kész, eddig: Kezdő=6, Második=12, Döntetlen=9
Játék 28/100 kész, eddig: Kezdő=6, Második=13, Döntetlen=9
Játék 29/100 kész, eddig: Kezdő=7, Második=13, Döntetlen=9
Játék 30/100 kész, eddig: Kezdő=8, Második=13, Döntetlen=9
Játék 31/100 kész, eddig: Kezdő=8, Második=13, Döntetlen=10
Játék 32/100 kész, eddig: Kezdő=8, Második=14, Döntetlen=10
Játék 33/100 kész, eddig: Kezdő=9, Második=14, Döntetlen=10
Játék 34/100 kész, eddig: Kezdő=10, Második=14, Döntetlen=10
Játék 35/100 kész, eddig: Kezdő=10, Második=15, Döntetlen=10
Játék 36/100 kész, eddig: Kezdő=10, Második=15, Döntetlen=11
Játék 37/100 kész, eddig: Kezdő=10, Második=15, Döntetlen=12
Játék 38/100 kész, eddig: Kezdő=10, Második=16, Döntetlen=12
Játék 39/100 kész, eddig: Kezdő=10, Második=17, Döntetlen=12
Játék 40/100 kész, eddig: Kezdő=11, Második=17, Döntetlen=12
Játék 41/100 kész, eddig: Kezdő=11, Második=17, Döntetlen=13
Játék 42/100 kész, eddig: Kezdő=12, Második=17, Döntetlen=13
Játék 43/100 kész, eddig: Kezdő=12, Második=18, Döntetlen=13
Játék 44/100 kész, eddig: Kezdő=13, Második=18, Döntetlen=13
Játék 45/100 kész, eddig: Kezdő=13, Második=18, Döntetlen=14
Játék 46/100 kész, eddig: Kezdő=14, Második=18, Döntetlen=14
Játék 47/100 kész, eddig: Kezdő=14, Második=19, Döntetlen=14
Játék 48/100 kész, eddig: Kezdő=15, Második=19, Döntetlen=14
Játék 49/100 kész, eddig: Kezdő=15, Második=19, Döntetlen=15
Játék 50/100 kész, eddig: Kezdő=16, Második=19, Döntetlen=15
Játék 51/100 kész, eddig: Kezdő=16, Második=20, Döntetlen=15
Játék 52/100 kész, eddig: Kezdő=16, Második=21, Döntetlen=15
Játék 53/100 kész, eddig: Kezdő=17, Második=21, Döntetlen=15
Játék 54/100 kész, eddig: Kezdő=17, Második=21, Döntetlen=16
Játék 55/100 kész, eddig: Kezdő=18, Második=21, Döntetlen=16
Játék 56/100 kész, eddig: Kezdő=18, Második=22, Döntetlen=16
Játék 57/100 kész, eddig: Kezdő=18, Második=22, Döntetlen=17
Játék 58/100 kész, eddig: Kezdő=18, Második=23, Döntetlen=17
Játék 59/100 kész, eddig: Kezdő=18, Második=24, Döntetlen=17
Játék 60/100 kész, eddig: Kezdő=19, Második=24, Döntetlen=17
Játék 61/100 kész, eddig: Kezdő=19, Második=24, Döntetlen=18
Játék 62/100 kész, eddig: Kezdő=19, Második=24, Döntetlen=19
Játék 63/100 kész, eddig: Kezdő=20, Második=24, Döntetlen=19
Játék 64/100 kész, eddig: Kezdő=20, Második=24, Döntetlen=20
Játék 65/100 kész, eddig: Kezdő=20, Második=24, Döntetlen=21
Játék 66/100 kész, eddig: Kezdő=21, Második=24, Döntetlen=21
Játék 67/100 kész, eddig: Kezdő=22, Második=24, Döntetlen=21
Játék 68/100 kész, eddig: Kezdő=22, Második=24, Döntetlen=22
Játék 69/100 kész, eddig: Kezdő=22, Második=25, Döntetlen=22
Játék 70/100 kész, eddig: Kezdő=22, Második=26, Döntetlen=22
Játék 71/100 kész, eddig: Kezdő=23, Második=26, Döntetlen=22
Játék 72/100 kész, eddig: Kezdő=24, Második=26, Döntetlen=22
Játék 73/100 kész, eddig: Kezdő=25, Második=26, Döntetlen=22
Játék 74/100 kész, eddig: Kezdő=26, Második=26, Döntetlen=22
Játék 75/100 kész, eddig: Kezdő=27, Második=26, Döntetlen=22
Játék 76/100 kész, eddig: Kezdő=28, Második=26, Döntetlen=22
Játék 77/100 kész, eddig: Kezdő=28, Második=27, Döntetlen=22
Játék 78/100 kész, eddig: Kezdő=29, Második=27, Döntetlen=22
Játék 79/100 kész, eddig: Kezdő=30, Második=27, Döntetlen=22
Játék 80/100 kész, eddig: Kezdő=30, Második=28, Döntetlen=22
Játék 81/100 kész, eddig: Kezdő=30, Második=29, Döntetlen=22
