=== SZIMULÁCIÓ INDUL ===
Variáns: Fordított
Meccsek száma: 600
Játék 1/600 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/600 kész, eddig: Kezdő=0, Második=2, Döntetlen=0
Játék 3/600 kész, eddig: Kezdő=0, Második=2, Döntetlen=1
Játék 4/600 kész, eddig: Kezdő=0, Második=3, Döntetlen=1
Játék 5/600 kész, eddig: Kezdő=0, Második=3, Döntetlen=2
Játék 6/600 kész, eddig: Kezdő=0, Második=4, Döntetlen=2
Játék 7/600 kész, eddig: Kezdő=0, Második=5, Döntetlen=2
Játék 8/600 kész, eddig: Kezdő=0, Második=6, Döntetlen=2
Játék 9/600 kész, eddig: Kezdő=0, Második=6, Döntetlen=3
Játék 10/600 kész, eddig: Kezdő=1, Második=6, Döntetlen=3
Játék 11/600 kész, eddig: Kezdő=2, Második=6, Döntetlen=3
Játék 12/600 kész, eddig: Kezdő=2, Második=6, Döntetlen=4
Játék 13/600 kész, eddig: Kezdő=3, Második=6, Döntetlen=4
Játék 14/600 kész, eddig: Kezdő=3, Második=7, Döntetlen=4
Játék 15/600 kész, eddig: Kezdő=4, Második=7, Döntetlen=4
Játék 16/600 kész, eddig: Kezdő=4, Második=8, Döntetlen=4
Játék 17/600 kész, eddig: Kezdő=4, Második=9, Döntetlen=4
Játék 18/600 kész, eddig: Kezdő=5, Második=9, Döntetlen=4
Játék 19/600 kész, eddig: Kezdő=6, Második=9, Döntetlen=4
Játék 20/600 kész, eddig: Kezdő=6, Második=9, Döntetlen=5
Játék 21/600 kész, eddig: Kezdő=7, Második=9, Döntetlen=5
Játék 22/600 kész, eddig: Kezdő=7, Második=9, Döntetlen=6
Játék 23/600 kész, eddig: Kezdő=8, Második=9, Döntetlen=6
Játék 24/600 kész, eddig: Kezdő=8, Második=9, Döntetlen=7
Játék 25/600 kész, eddig: Kezdő=8, Második=10, Döntetlen=7
Játék 26/600 kész, eddig: Kezdő=8, Második=11, Döntetlen=7
Játék 27/600 kész, eddig: Kezdő=8, Második=11, Döntetlen=8
Játék 28/600 kész, eddig: Kezdő=8, Második=12, Döntetlen=8
Játék 29/600 kész, eddig: Kezdő=8, Második=13, Döntetlen=8
Játék 30/600 kész, eddig: Kezdő=8, Második=13, Döntetlen=9
Játék 31/600 kész, eddig: Kezdő=8, Második=14, Döntetlen=9
Játék 32/600 kész, eddig: Kezdő=8, Második=15, Döntetlen=9
Játék 33/600 kész, eddig: Kezdő=8, Második=16, Döntetlen=9
Játék 34/600 kész, eddig: Kezdő=8, Második=17, Döntetlen=9
Játék 35/600 kész, eddig: Kezdő=9, Második=17, Döntetlen=9
Játék 36/600 kész, eddig: Kezdő=9, Második=18, Döntetlen=9
Játék 37/600 kész, eddig: Kezdő=9, Második=19, Döntetlen=9
Játék 38/600 kész, eddig: Kezdő=9, Második=20, Döntetlen=9
Játék 39/600 kész, eddig: Kezdő=10, Második=20, Döntetlen=9
Játék 40/600 kész, eddig: Kezdő=10, Második=21, Döntetlen=9
Játék 41/600 kész, eddig: Kezdő=10, Második=22, Döntetlen=9
Játék 42/600 kész, eddig: Kezdő=11, Második=22, Döntetlen=9
Játék 43/600 kész, eddig: Kezdő=11, Második=23, Döntetlen=9
Játék 44/600 kész, eddig: Kezdő=11, Második=24, Döntetlen=9
Játék 45/600 kész, eddig: Kezdő=11, Második=24, Döntetlen=10
Játék 46/600 kész, eddig: Kezdő=12, Második=24, Döntetlen=10
Játék 47/600 kész, eddig: Kezdő=12, Második=24, Döntetlen=11
Játék 48/600 kész, eddig: Kezdő=12, Második=24, Döntetlen=12
Játék 49/600 kész, eddig: Kezdő=12, Második=24, Döntetlen=13
Játék 50/600 kész, eddig: Kezdő=12, Második=24, Döntetlen=14
