=== SZIMULÁCIÓ INDUL ===
Variáns: Fordított
Meccsek száma: 200
Játék 1/200 kész, eddig: Kezdő=1, Második=0, Döntetlen=0
Játék 2/200 kész, eddig: Kezdő=1, Második=0, Döntetlen=1
Játék 3/200 kész, eddig: Kezdő=1, Második=1, Döntetlen=1
Játék 4/200 kész, eddig: Kezdő=1, Második=2, Döntetlen=1
Játék 5/200 kész, eddig: Kezdő=1, Második=3, Döntetlen=1
Játék 6/200 kész, eddig: Kezdő=1, Második=4, Döntetlen=1
Játék 7/200 kész, eddig: Kezdő=2, Második=4, Döntetlen=1
Játék 8/200 kész, eddig: Kezdő=2, Második=5, Döntetlen=1
Játék 9/200 kész, eddig: Kezdő=2, Második=6, Döntetlen=1
Játék 10/200 kész, eddig: Kezdő=2, Második=7, Döntetlen=1
Játék 11/200 kész, eddig: Kezdő=2, Második=8, Döntetlen=1
Játék 12/200 kész, eddig: Kezdő=2, Második=8, Döntetlen=2
Játék 13/200 kész, eddig: Kezdő=2, Második=9, Döntetlen=2
Játék 14/200 kész, eddig: Kezdő=2, Második=10, Döntetlen=2
Játék 15/200 kész, eddig: Kezdő=2, Második=11, Döntetlen=2
Játék 16/200 kész, eddig: Kezdő=2, Második=11, Döntetlen=3
Játék 17/200 kész, eddig: Kezdő=2, Második=11, Döntetlen=4
Játék 18/200 kész, eddig: Kezdő=3, Második=11, Döntetlen=4
Játék 19/200 kész, eddig: Kezdő=3, Második=11, Döntetlen=5
Játék 20/200 kész, eddig: Kezdő=3, Második=12, Döntetlen=5
Játék 21/200 kész, eddig: Kezdő=4, Második=12, Döntetlen=5
Játék 22/200 kész, eddig: Kezdő=5, Második=12, Döntetlen=5
Játék 23/200 kész, eddig: Kezdő=6, Második=12, Döntetlen=5
Játék 24/200 kész, eddig: Kezdő=6, Második=13, Döntetlen=5
Játék 25/200 kész, eddig: Kezdő=6, Második=13, Döntetlen=6
Játék 26/200 kész, eddig: Kezdő=7, Második=13, Döntetlen=6
Játék 27/200 kész, eddig: Kezdő=8, Második=13, Döntetlen=6
Játék 28/200 kész, eddig: Kezdő=8, Második=14, Döntetlen=6
Játék 29/200 kész, eddig: Kezdő=9, Második=14, Döntetlen=6
Játék 30/200 kész, eddig: Kezdő=9, Második=15, Döntetlen=6
Játék 31/200 kész, eddig: Kezdő=9, Második=16, Döntetlen=6
Játék 32/200 kész, eddig: Kezdő=9, Második=17, Döntetlen=6
Játék 33/200 kész, eddig: Kezdő=9, Második=17, Döntetlen=7
Játék 34/200 kész, eddig: Kezdő=10, Második=17, Döntetlen=7
Játék 35/200 kész, eddig: Kezdő=10, Második=18, Döntetlen=7
Játék 36/200 kész, eddig: Kezdő=11, Második=18, Döntetlen=7
Játék 37/200 kész, eddig: Kezdő=11, Második=19, Döntetlen=7
Játék 38/200 kész, eddig: Kezdő=11, Második=20, Döntetlen=7
Játék 39/200 kész, eddig: Kezdő=11, Második=21, Döntetlen=7
Játék 40/200 kész, eddig: Kezdő=11, Második=21, Döntetlen=8
Játék 41/200 kész, eddig: Kezdő=11, Második=21, Döntetlen=9
Játék 42/200 kész, eddig: Kezdő=12, Második=21, Döntetlen=9
Játék 43/200 kész, eddig: Kezdő=13, Második=21, Döntetlen=9
Játék 44/200 kész, eddig: Kezdő=13, Második=22, Döntetlen=9
Játék 45/200 kész, eddig: Kezdő=14, Második=22, Döntetlen=9
Játék 46/200 kész, eddig: Kezdő=15, Második=22, Döntetlen=9
Játék 47/200 kész, eddig: Kezdő=15, Második=23, Döntetlen=9
Játék 48/200 kész, eddig: Kezdő=15, Második=24, Döntetlen=9
Játék 49/200 kész, eddig: Kezdő=16, Második=24, Döntetlen=9
Játék 50/200 kész, eddig: Kezdő=16, Második=25, Döntetlen=9
Játék 51/200 kész, eddig: Kezdő=16, Második=26, Döntetlen=9
Játék 52/200 kész, eddig: Kezdő=16, Második=27, Döntetlen=9
Játék 53/200 kész, eddig: Kezdő=17, Második=27, Döntetlen=9
Játék 54/200 kész, eddig: Kezdő=18, Második=27, Döntetlen=9
Játék 55/200 kész, eddig: Kezdő=19, Második=27, Döntetlen=9
Játék 56/200 kész, eddig: Kezdő=19, Második=28, Döntetlen=9
Játék 57/200 kész, eddig: Kezdő=19, Második=29, Döntetlen=9
Játék 58/200 kész, eddig: Kezdő=19, Második=29, Döntetlen=10
Játék 59/200 kész, eddig: Kezdő=20, Második=29, Döntetlen=10
Játék 60/200 kész, eddig: Kezdő=21, Második=29, Döntetlen=10
Játék 61/200 kész, eddig: Kezdő=21, Második=29, Döntetlen=11
Játék 62/200 kész, eddig: Kezdő=22, Második=29, Döntetlen=11
Játék 63/200 kész, eddig: Kezdő=22, Második=29, Döntetlen=12
Játék 64/200 kész, eddig: Kezdő=22, Második=29, Döntetlen=13
Játék 65/200 kész, eddig: Kezdő=22, Második=29, Döntetlen=14
Játék 66/200 kész, eddig: Kezdő=23, Második=29, Döntetlen=14
Játék 67/200 kész, eddig: Kezdő=24, Második=29, Döntetlen=14
Játék 68/200 kész, eddig: Kezdő=25, Második=29, Döntetlen=14
Játék 69/200 kész, eddig: Kezdő=25, Második=30, Döntetlen=14
