=== SZIMULÁCIÓ INDUL ===
Variáns: Fordított
Meccsek száma: 1000
Játék 1/1000 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/1000 kész, eddig: Kezdő=0, Második=2, Döntetlen=0
Játék 3/1000 kész, eddig: Kezdő=1, Második=2, Döntetlen=0
Játék 4/1000 kész, eddig: Kezdő=1, Második=2, Döntetlen=1
Játék 5/1000 kész, eddig: Kezdő=2, Második=2, Döntetlen=1
Játék 6/1000 kész, eddig: Kezdő=2, Második=3, Döntetlen=1
Játék 7/1000 kész, eddig: Kezdő=2, Második=3, Döntetlen=2
Játék 8/1000 kész, eddig: Kezdő=2, Második=3, Döntetlen=3
Játék 9/1000 kész, eddig: Kezdő=3, Második=3, Döntetlen=3
Játék 10/1000 kész, eddig: Kezdő=3, Második=4, Döntetlen=3
Játék 11/1000 kész, eddig: Kezdő=3, Második=5, Döntetlen=3
Játék 12/1000 kész, eddig: Kezdő=3, Második=6, Döntetlen=3
Játék 13/1000 kész, eddig: Kezdő=3, Második=7, Döntetlen=3
Játék 14/1000 kész, eddig: Kezdő=3, Második=8, Döntetlen=3
Játék 15/1000 kész, eddig: Kezdő=4, Második=8, Döntetlen=3
Játék 16/1000 kész, eddig: Kezdő=5, Második=8, Döntetlen=3
Játék 17/1000 kész, eddig: Kezdő=6, Második=8, Döntetlen=3
Játék 18/1000 kész, eddig: Kezdő=7, Második=8, Döntetlen=3
Játék 19/1000 kész, eddig: Kezdő=7, Második=9, Döntetlen=3
Játék 20/1000 kész, eddig: Kezdő=7, Második=10, Döntetlen=3
Játék 21/1000 kész, eddig: Kezdő=7, Második=10, Döntetlen=4
Játék 22/1000 kész, eddig: Kezdő=7, Második=11, Döntetlen=4
Játék 23/1000 kész, eddig: Kezdő=7, Második=11, Döntetlen=5
Játék 24/1000 kész, eddig: Kezdő=7, Második=11, Döntetlen=6
Játék 25/1000 kész, eddig: Kezdő=8, Második=11, Döntetlen=6
Játék 26/1000 kész, eddig: Kezdő=8, Második=12, Döntetlen=6
Játék 27/1000 kész, eddig: Kezdő=9, Második=12, Döntetlen=6
Játék 28/1000 kész, eddig: Kezdő=9, Második=13, Döntetlen=6
Játék 29/1000 kész, eddig: Kezdő=10, Második=13, Döntetlen=6
Játék 30/1000 kész, eddig: Kezdő=10, Második=14, Döntetlen=6
Játék 31/1000 kész, eddig: Kezdő=11, Második=14, Döntetlen=6
Játék 32/1000 kész, eddig: Kezdő=11, Második=14, Döntetlen=7
Játék 33/1000 kész, eddig: Kezdő=12, Második=14, Döntetlen=7
Játék 34/1000 kész, eddig: Kezdő=12, Második=15, Döntetlen=7
