=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított
Meccsek száma: 200
Játék 1/200 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/200 kész, eddig: Kezdő=1, Második=1, Döntetlen=0
Játék 3/200 kész, eddig: Kezdő=2, Második=1, Döntetlen=0
Játék 4/200 kész, eddig: Kezdő=2, Második=2, Döntetlen=0
Játék 5/200 kész, eddig: Kezdő=3, Második=2, Döntetlen=0
Játék 6/200 kész, eddig: Kezdő=4, Második=2, Döntetlen=0
Játék 7/200 kész, eddig: Kezdő=5, Második=2, Döntetlen=0
Játék 8/200 kész, eddig: Kezdő=5, Második=3, Döntetlen=0
Játék 9/200 kész, eddig: Kezdő=6, Második=3, Döntetlen=0
Játék 10/200 kész, eddig: Kezdő=6, Második=4, Döntetlen=0
Játék 11/200 kész, eddig: Kezdő=6, Második=5, Döntetlen=0
Játék 12/200 kész, eddig: Kezdő=7, Második=5, Döntetlen=0
Játék 13/200 kész, eddig: Kezdő=7, Második=6, Döntetlen=0
Játék 14/200 kész, eddig: Kezdő=8, Második=6, Döntetlen=0
Játék 15/200 kész, eddig: Kezdő=8, Második=7, Döntetlen=0
Játék 16/200 kész, eddig: Kezdő=9, Második=7, Döntetlen=0
Játék 17/200 kész, eddig: Kezdő=9, Második=8, Döntetlen=0
Játék 18/200 kész, eddig: Kezdő=10, Második=8, Döntetlen=0
Játék 19/200 kész, eddig: Kezdő=11, Második=8, Döntetlen=0
Játék 20/200 kész, eddig: Kezdő=11, Második=9, Döntetlen=0
Játék 21/200 kész, eddig: Kezdő=12, Második=9, Döntetlen=0
Játék 22/200 kész, eddig: Kezdő=12, Második=10, Döntetlen=0
Játék 23/200 kész, eddig: Kezdő=12, Második=11, Döntetlen=0
Játék 24/200 kész, eddig: Kezdő=13, Második=11, Döntetlen=0
Játék 25/200 kész, eddig: Kezdő=13, Második=12, Döntetlen=0
Játék 26/200 kész, eddig: Kezdő=13, Második=13, Döntetlen=0
Játék 27/200 kész, eddig: Kezdő=13, Második=14, Döntetlen=0
Játék 28/200 kész, eddig: Kezdő=13, Második=15, Döntetlen=0
Játék 29/200 kész, eddig: Kezdő=13, Második=16, Döntetlen=0
Játék 30/200 kész, eddig: Kezdő=13, Második=17, Döntetlen=0
Játék 31/200 kész, eddig: Kezdő=14, Második=17, Döntetlen=0
Játék 32/200 kész, eddig: Kezdő=14, Második=18, Döntetlen=0
Játék 33/200 kész, eddig: Kezdő=14, Második=19, Döntetlen=0
Játék 34/200 kész, eddig: Kezdő=15, Második=19, Döntetlen=0
Játék 35/200 kész, eddig: Kezdő=15, Második=20, Döntetlen=0
Játék 36/200 kész, eddig: Kezdő=15, Második=21, Döntetlen=0
Játék 37/200 kész, eddig: Kezdő=15, Második=22, Döntetlen=0
Játék 38/200 kész, eddig: Kezdő=15, Második=23, Döntetlen=0
Játék 39/200 kész, eddig: Kezdő=15, Második=24, Döntetlen=0
Játék 40/200 kész, eddig: Kezdő=15, Második=25, Döntetlen=0
Játék 41/200 kész, eddig: Kezdő=16, Második=25, Döntetlen=0
Játék 42/200 kész, eddig: Kezdő=16, Második=26, Döntetlen=0
Játék 43/200 kész, eddig: Kezdő=16, Második=27, Döntetlen=0
Játék 44/200 kész, eddig: Kezdő=16, Második=28, Döntetlen=0
Játék 45/200 kész, eddig: Kezdő=17, Második=28, Döntetlen=0
Játék 46/200 kész, eddig: Kezdő=17, Második=29, Döntetlen=0
Játék 47/200 kész, eddig: Kezdő=17, Második=30, Döntetlen=0
Játék 48/200 kész, eddig: Kezdő=17, Második=31, Döntetlen=0
Játék 49/200 kész, eddig: Kezdő=18, Második=31, Döntetlen=0
Játék 50/200 kész, eddig: Kezdő=18, Második=32, Döntetlen=0
Játék 51/200 kész, eddig: Kezdő=19, Második=32, Döntetlen=0
Játék 52/200 kész, eddig: Kezdő=20, Második=32, Döntetlen=0
Játék 53/200 kész, eddig: Kezdő=20, Második=33, Döntetlen=0
Játék 54/200 kész, eddig: Kezdő=20, Második=34, Döntetlen=0
Játék 55/200 kész, eddig: Kezdő=20, Második=35, Döntetlen=0
Játék 56/200 kész, eddig: Kezdő=20, Második=36, Döntetlen=0
Játék 57/200 kész, eddig: Kezdő=20, Második=37, Döntetlen=0
Játék 58/200 kész, eddig: Kezdő=21, Második=37, Döntetlen=0
Játék 59/200 kész, eddig: Kezdő=22, Második=37, Döntetlen=0
Játék 60/200 kész, eddig: Kezdő=23, Második=37, Döntetlen=0
Játék 61/200 kész, eddig: Kezdő=23, Második=38, Döntetlen=0
Játék 62/200 kész, eddig: Kezdő=24, Második=38, Döntetlen=0
Játék 63/200 kész, eddig: Kezdő=24, Második=39, Döntetlen=0
Játék 64/200 kész, eddig: Kezdő=24, Második=40, Döntetlen=0
Játék 65/200 kész, eddig: Kezdő=24, Második=41, Döntetlen=0
Játék 66/200 kész, eddig: Kezdő=24, Második=42, Döntetlen=0
Játék 67/200 kész, eddig: Kezdő=24, Második=43, Döntetlen=0
Játék 68/200 kész, eddig: Kezdő=25, Második=43, Döntetlen=0
Játék 69/200 kész, eddig: Kezdő=25, Második=44, Döntetlen=0
Játék 70/200 kész, eddig: Kezdő=26, Második=44, Döntetlen=0
Játék 71/200 kész, eddig: Kezdő=26, Második=45, Döntetlen=0
Játék 72/200 kész, eddig: Kezdő=27, Második=45, Döntetlen=0
Játék 73/200 kész, eddig: Kezdő=27, Második=46, Döntetlen=0
Játék 74/200 kész, eddig: Kezdő=27, Második=47, Döntetlen=0
Játék 75/200 kész, eddig: Kezdő=28, Második=47, Döntetlen=0
Játék 76/200 kész, eddig: Kezdő=28, Második=48, Döntetlen=0
Játék 77/200 kész, eddig: Kezdő=28, Második=49, Döntetlen=0
Játék 78/200 kész, eddig: Kezdő=29, Második=49, Döntetlen=0
Játék 79/200 kész, eddig: Kezdő=29, Második=50, Döntetlen=0
Játék 80/200 kész, eddig: Kezdő=29, Második=51, Döntetlen=0
Játék 81/200 kész, eddig: Kezdő=29, Második=52, Döntetlen=0
Játék 82/200 kész, eddig: Kezdő=29, Második=53, Döntetlen=0
Játék 83/200 kész, eddig: Kezdő=30, Második=53, Döntetlen=0
Játék 84/200 kész, eddig: Kezdő=30, Második=54, Döntetlen=0
Játék 85/200 kész, eddig: Kezdő=30, Második=55, Döntetlen=0
Játék 86/200 kész, eddig: Kezdő=30, Második=56, Döntetlen=0
Játék 87/200 kész, eddig: Kezdő=31, Második=56, Döntetlen=0
Játék 88/200 kész, eddig: Kezdő=32, Második=56, Döntetlen=0
Játék 89/200 kész, eddig: Kezdő=33, Második=56, Döntetlen=0
Játék 90/200 kész, eddig: Kezdő=33, Második=57, Döntetlen=0
Játék 91/200 kész, eddig: Kezdő=33, Második=58, Döntetlen=0
Játék 92/200 kész, eddig: Kezdő=33, Második=59, Döntetlen=0
Játék 93/200 kész, eddig: Kezdő=33, Második=60, Döntetlen=0
Játék 94/200 kész, eddig: Kezdő=33, Második=61, Döntetlen=0
Játék 95/200 kész, eddig: Kezdő=33, Második=62, Döntetlen=0
Játék 96/200 kész, eddig: Kezdő=34, Második=62, Döntetlen=0
