=== SZIMULÁCIÓ INDUL ===
Variáns: Fordított
Meccsek száma: 100
Játék 1/100 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/100 kész, eddig: Kezdő=1, Második=1, Döntetlen=0
Játék 3/100 kész, eddig: Kezdő=1, Második=2, Döntetlen=0
Játék 4/100 kész, eddig: Kezdő=2, Második=2, Döntetlen=0
Játék 5/100 kész, eddig: Kezdő=3, Második=2, Döntetlen=0
Játék 6/100 kész, eddig: Kezdő=4, Második=2, Döntetlen=0
Játék 7/100 kész, eddig: Kezdő=5, Második=2, Döntetlen=0
Játék 8/100 kész, eddig: Kezdő=5, Második=2, Döntetlen=1
Játék 9/100 kész, eddig: Kezdő=6, Második=2, Döntetlen=1
Játék 10/100 kész, eddig: Kezdő=6, Második=3, Döntetlen=1
Játék 11/100 kész, eddig: Kezdő=7, Második=3, Döntetlen=1
Játék 12/100 kész, eddig: Kezdő=8, Második=3, Döntetlen=1
Játék 13/100 kész, eddig: Kezdő=9, Második=3, Döntetlen=1
Játék 14/100 kész, eddig: Kezdő=9, Második=4, Döntetlen=1
Játék 15/100 kész, eddig: Kezdő=9, Második=5, Döntetlen=1
Játék 16/100 kész, eddig: Kezdő=9, Második=5, Döntetlen=2
Játék 17/100 kész, eddig: Kezdő=10, Második=5, Döntetlen=2
Játék 18/100 kész, eddig: Kezdő=11, Második=5, Döntetlen=2
Játék 19/100 kész, eddig: Kezdő=11, Második=6, Döntetlen=2
Játék 20/100 kész, eddig: Kezdő=11, Második=6, Döntetlen=3
Játék 21/100 kész, eddig: Kezdő=11, Második=6, Döntetlen=4
Játék 22/100 kész, eddig: Kezdő=12, Második=6, Döntetlen=4
Játék 23/100 kész, eddig: Kezdő=12, Második=7, Döntetlen=4
Játék 24/100 kész, eddig: Kezdő=13, Második=7, Döntetlen=4
Játék 25/100 kész, eddig: Kezdő=13, Második=8, Döntetlen=4
Játék 26/100 kész, eddig: Kezdő=13, Második=8, Döntetlen=5
Játék 27/100 kész, eddig: Kezdő=13, Második=9, Döntetlen=5
Játék 28/100 kész, eddig: Kezdő=13, Második=9, Döntetlen=6
Játék 29/100 kész, eddig: Kezdő=13, Második=9, Döntetlen=7
Játék 30/100 kész, eddig: Kezdő=13, Második=9, Döntetlen=8
Játék 31/100 kész, eddig: Kezdő=13, Második=9, Döntetlen=9
Játék 32/100 kész, eddig: Kezdő=14, Második=9, Döntetlen=9
Játék 33/100 kész, eddig: Kezdő=15, Második=9, Döntetlen=9
Játék 34/100 kész, eddig: Kezdő=16, Második=9, Döntetlen=9
Játék 35/100 kész, eddig: Kezdő=16, Második=9, Döntetlen=10
Játék 36/100 kész, eddig: Kezdő=17, Második=9, Döntetlen=10
Játék 37/100 kész, eddig: Kezdő=17, Második=10, Döntetlen=10
Játék 38/100 kész, eddig: Kezdő=18, Második=10, Döntetlen=10
Játék 39/100 kész, eddig: Kezdő=18, Második=11, Döntetlen=10
Játék 40/100 kész, eddig: Kezdő=18, Második=12, Döntetlen=10
Játék 41/100 kész, eddig: Kezdő=19, Második=12, Döntetlen=10
Játék 42/100 kész, eddig: Kezdő=19, Második=13, Döntetlen=10
Játék 43/100 kész, eddig: Kezdő=19, Második=14, Döntetlen=10
Játék 44/100 kész, eddig: Kezdő=20, Második=14, Döntetlen=10
Játék 45/100 kész, eddig: Kezdő=20, Második=15, Döntetlen=10
Játék 46/100 kész, eddig: Kezdő=20, Második=16, Döntetlen=10
Játék 47/100 kész, eddig: Kezdő=20, Második=16, Döntetlen=11
Játék 48/100 kész, eddig: Kezdő=20, Második=17, Döntetlen=11
Játék 49/100 kész, eddig: Kezdő=20, Második=18, Döntetlen=11
Játék 50/100 kész, eddig: Kezdő=21, Második=18, Döntetlen=11
Játék 51/100 kész, eddig: Kezdő=21, Második=19, Döntetlen=11
Játék 52/100 kész, eddig: Kezdő=21, Második=20, Döntetlen=11
Játék 53/100 kész, eddig: Kezdő=22, Második=20, Döntetlen=11
Játék 54/100 kész, eddig: Kezdő=22, Második=21, Döntetlen=11
Játék 55/100 kész, eddig: Kezdő=22, Második=21, Döntetlen=12
Játék 56/100 kész, eddig: Kezdő=22, Második=22, Döntetlen=12
Játék 57/100 kész, eddig: Kezdő=23, Második=22, Döntetlen=12
Játék 58/100 kész, eddig: Kezdő=24, Második=22, Döntetlen=12
Játék 59/100 kész, eddig: Kezdő=24, Második=22, Döntetlen=13
Játék 60/100 kész, eddig: Kezdő=25, Második=22, Döntetlen=13
Játék 61/100 kész, eddig: Kezdő=25, Második=22, Döntetlen=14
Játék 62/100 kész, eddig: Kezdő=25, Második=23, Döntetlen=14
Játék 63/100 kész, eddig: Kezdő=25, Második=23, Döntetlen=15
Játék 64/100 kész, eddig: Kezdő=25, Második=23, Döntetlen=16
Játék 65/100 kész, eddig: Kezdő=25, Második=24, Döntetlen=16
Játék 66/100 kész, eddig: Kezdő=25, Második=24, Döntetlen=17
Játék 67/100 kész, eddig: Kezdő=25, Második=24, Döntetlen=18
Játék 68/100 kész, eddig: Kezdő=25, Második=24, Döntetlen=19
Játék 69/100 kész, eddig: Kezdő=26, Második=24, Döntetlen=19
Játék 70/100 kész, eddig: Kezdő=26, Második=24, Döntetlen=20
Játék 71/100 kész, eddig: Kezdő=26, Második=25, Döntetlen=20
Játék 72/100 kész, eddig: Kezdő=27, Második=25, Döntetlen=20
Játék 73/100 kész, eddig: Kezdő=27, Második=26, Döntetlen=20
Játék 74/100 kész, eddig: Kezdő=27, Második=27, Döntetlen=20
Játék 75/100 kész, eddig: Kezdő=27, Második=28, Döntetlen=20
Játék 76/100 kész, eddig: Kezdő=28, Második=28, Döntetlen=20
Játék 77/100 kész, eddig: Kezdő=29, Második=28, Döntetlen=20
Játék 78/100 kész, eddig: Kezdő=29, Második=29, Döntetlen=20
Játék 79/100 kész, eddig: Kezdő=29, Második=30, Döntetlen=20
Játék 80/100 kész, eddig: Kezdő=29, Második=30, Döntetlen=21
Játék 81/100 kész, eddig: Kezdő=30, Második=30, Döntetlen=21
Játék 82/100 kész, eddig: Kezdő=31, Második=30, Döntetlen=21
Játék 83/100 kész, eddig: Kezdő=31, Második=31, Döntetlen=21
Játék 84/100 kész, eddig: Kezdő=32, Második=31, Döntetlen=21
Játék 85/100 kész, eddig: Kezdő=32, Második=31, Döntetlen=22
Játék 86/100 kész, eddig: Kezdő=32, Második=31, Döntetlen=23
Játék 87/100 kész, eddig: Kezdő=33, Második=31, Döntetlen=23
Játék 88/100 kész, eddig: Kezdő=33, Második=32, Döntetlen=23
Játék 89/100 kész, eddig: Kezdő=33, Második=33, Döntetlen=23
Játék 90/100 kész, eddig: Kezdő=34, Második=33, Döntetlen=23
Játék 91/100 kész, eddig: Kezdő=34, Második=33, Döntetlen=24
Játék 92/100 kész, eddig: Kezdő=34, Második=34, Döntetlen=24
Játék 93/100 kész, eddig: Kezdő=35, Második=34, Döntetlen=24
Játék 94/100 kész, eddig: Kezdő=35, Második=35, Döntetlen=24
Játék 95/100 kész, eddig: Kezdő=36, Második=35, Döntetlen=24
Játék 96/100 kész, eddig: Kezdő=36, Második=36, Döntetlen=24
Játék 97/100 kész, eddig: Kezdő=37, Második=36, Döntetlen=24
Játék 98/100 kész, eddig: Kezdő=38, Második=36, Döntetlen=24
Játék 99/100 kész, eddig: Kezdő=38, Második=36, Döntetlen=25
Játék 100/100 kész, eddig: Kezdő=38, Második=36, Döntetlen=26

=== SZIMULÁCIÓ KÉSZ ===
Variáns: Fordított
Lejátszott meccsek: 100
Kezdő játékos győzelmek:    38
Második játékos győzelmek:  36
Döntetlenek:                26
Kezdő aránya:    38.00%
Második aránya:  36.00%
Döntetlen:       26.00%
