=== SZIMULÁCIÓ INDUL ===
Variáns: Felgyorsított
Meccsek száma: 1000
Játék 1/1000 kész, eddig: Kezdő=0, Második=1, Döntetlen=0
Játék 2/1000 kész, eddig: Kezdő=1, Második=1, Döntetlen=0
Játék 3/1000 kész, eddig: Kezdő=1, Második=2, Döntetlen=0
Játék 4/1000 kész, eddig: Kezdő=1, Második=3, Döntetlen=0
Játék 5/1000 kész, eddig: Kezdő=2, Második=3, Döntetlen=0
Játék 6/1000 kész, eddig: Kezdő=3, Második=3, Döntetlen=0
Játék 7/1000 kész, eddig: Kezdő=4, Második=3, Döntetlen=0
Játék 8/1000 kész, eddig: Kezdő=4, Második=4, Döntetlen=0
Játék 9/1000 kész, eddig: Kezdő=5, Második=4, Döntetlen=0
Játék 10/1000 kész, eddig: Kezdő=5, Második=5, Döntetlen=0
Játék 11/1000 kész, eddig: Kezdő=6, Második=5, Döntetlen=0
Játék 12/1000 kész, eddig: Kezdő=6, Második=6, Döntetlen=0
Játék 13/1000 kész, eddig: Kezdő=6, Második=7, Döntetlen=0
Játék 14/1000 kész, eddig: Kezdő=6, Második=8, Döntetlen=0
Játék 15/1000 kész, eddig: Kezdő=7, Második=8, Döntetlen=0
Játék 16/1000 kész, eddig: Kezdő=7, Második=9, Döntetlen=0
Játék 17/1000 kész, eddig: Kezdő=8, Második=9, Döntetlen=0
Játék 18/1000 kész, eddig: Kezdő=9, Második=9, Döntetlen=0
Játék 19/1000 kész, eddig: Kezdő=9, Második=10, Döntetlen=0
Játék 20/1000 kész, eddig: Kezdő=9, Második=11, Döntetlen=0
Játék 21/1000 kész, eddig: Kezdő=9, Második=12, Döntetlen=0
Játék 22/1000 kész, eddig: Kezdő=10, Második=12, Döntetlen=0
Játék 23/1000 kész, eddig: Kezdő=10, Második=13, Döntetlen=0
Játék 24/1000 kész, eddig: Kezdő=10, Második=14, Döntetlen=0
Játék 25/1000 kész, eddig: Kezdő=11, Második=14, Döntetlen=0
Játék 26/1000 kész, eddig: Kezdő=11, Második=15, Döntetlen=0
Játék 27/1000 kész, eddig: Kezdő=12, Második=15, Döntetlen=0
Játék 28/1000 kész, eddig: Kezdő=13, Második=15, Döntetlen=0
Játék 29/1000 kész, eddig: Kezdő=13, Második=16, Döntetlen=0
Játék 30/1000 kész, eddig: Kezdő=14, Második=16, Döntetlen=0
Játék 31/1000 kész, eddig: Kezdő=15, Második=16, Döntetlen=0
Játék 32/1000 kész, eddig: Kezdő=16, Második=16, Döntetlen=0
Játék 33/1000 kész, eddig: Kezdő=17, Második=16, Döntetlen=0
Játék 34/1000 kész, eddig: Kezdő=18, Második=16, Döntetlen=0
Játék 35/1000 kész, eddig: Kezdő=18, Második=17, Döntetlen=0
Játék 36/1000 kész, eddig: Kezdő=18, Második=18, Döntetlen=0
Játék 37/1000 kész, eddig: Kezdő=18, Második=19, Döntetlen=0
Játék 38/1000 kész, eddig: Kezdő=18, Második=20, Döntetlen=0
Játék 39/1000 kész, eddig: Kezdő=18, Második=21, Döntetlen=0
Játék 40/1000 kész, eddig: Kezdő=18, Második=22, Döntetlen=0
Játék 41/1000 kész, eddig: Kezdő=19, Második=22, Döntetlen=0
Játék 42/1000 kész, eddig: Kezdő=19, Második=23, Döntetlen=0
Játék 43/1000 kész, eddig: Kezdő=20, Második=23, Döntetlen=0
Játék 44/1000 kész, eddig: Kezdő=21, Második=23, Döntetlen=0
Játék 45/1000 kész, eddig: Kezdő=22, Második=23, Döntetlen=0
Játék 46/1000 kész, eddig: Kezdő=22, Második=24, Döntetlen=0
Játék 47/1000 kész, eddig: Kezdő=22, Második=25, Döntetlen=0
Játék 48/1000 kész, eddig: Kezdő=22, Második=26, Döntetlen=0
Játék 49/1000 kész, eddig: Kezdő=23, Második=26, Döntetlen=0
Játék 50/1000 kész, eddig: Kezdő=24, Második=26, Döntetlen=0
Játék 51/1000 kész, eddig: Kezdő=24, Második=27, Döntetlen=0
Játék 52/1000 kész, eddig: Kezdő=25, Második=27, Döntetlen=0
Játék 53/1000 kész, eddig: Kezdő=26, Második=27, Döntetlen=0
Játék 54/1000 kész, eddig: Kezdő=27, Második=27, Döntetlen=0
Játék 55/1000 kész, eddig: Kezdő=27, Második=28, Döntetlen=0
Játék 56/1000 kész, eddig: Kezdő=27, Második=29, Döntetlen=0
Játék 57/1000 kész, eddig: Kezdő=27, Második=30, Döntetlen=0
Játék 58/1000 kész, eddig: Kezdő=27, Második=31, Döntetlen=0
Játék 59/1000 kész, eddig: Kezdő=27, Második=32, Döntetlen=0
Játék 60/1000 kész, eddig: Kezdő=27, Második=33, Döntetlen=0
Játék 61/1000 kész, eddig: Kezdő=27, Második=34, Döntetlen=0
Játék 62/1000 kész, eddig: Kezdő=27, Második=35, Döntetlen=0
Játék 63/1000 kész, eddig: Kezdő=28, Második=35, Döntetlen=0
Játék 64/1000 kész, eddig: Kezdő=28, Második=36, Döntetlen=0
Játék 65/1000 kész, eddig: Kezdő=28, Második=37, Döntetlen=0
Játék 66/1000 kész, eddig: Kezdő=28, Második=38, Döntetlen=0
Játék 67/1000 kész, eddig: Kezdő=29, Második=38, Döntetlen=0
Játék 68/1000 kész, eddig: Kezdő=29, Második=39, Döntetlen=0
Játék 69/1000 kész, eddig: Kezdő=30, Második=39, Döntetlen=0
Játék 70/1000 kész, eddig: Kezdő=30, Második=40, Döntetlen=0
Játék 71/1000 kész, eddig: Kezdő=31, Második=40, Döntetlen=0
Játék 72/1000 kész, eddig: Kezdő=31, Második=41, Döntetlen=0
Játék 73/1000 kész, eddig: Kezdő=32, Második=41, Döntetlen=0
Játék 74/1000 kész, eddig: Kezdő=33, Második=41, Döntetlen=0
Játék 75/1000 kész, eddig: Kezdő=34, Második=41, Döntetlen=0
Játék 76/1000 kész, eddig: Kezdő=34, Második=42, Döntetlen=0
Játék 77/1000 kész, eddig: Kezdő=34, Második=43, Döntetlen=0
Játék 78/1000 kész, eddig: Kezdő=34, Második=44, Döntetlen=0
Játék 79/1000 kész, eddig: Kezdő=34, Második=45, Döntetlen=0
Játék 80/1000 kész, eddig: Kezdő=34, Második=46, Döntetlen=0
Játék 81/1000 kész, eddig: Kezdő=34, Második=47, Döntetlen=0
Játék 82/1000 kész, eddig: Kezdő=34, Második=48, Döntetlen=0
Játék 83/1000 kész, eddig: Kezdő=34, Második=49, Döntetlen=0
Játék 84/1000 kész, eddig: Kezdő=34, Második=50, Döntetlen=0
Játék 85/1000 kész, eddig: Kezdő=34, Második=51, Döntetlen=0
Játék 86/1000 kész, eddig: Kezdő=34, Második=52, Döntetlen=0
Játék 87/1000 kész, eddig: Kezdő=35, Második=52, Döntetlen=0
Játék 88/1000 kész, eddig: Kezdő=35, Második=53, Döntetlen=0
Játék 89/1000 kész, eddig: Kezdő=35, Második=54, Döntetlen=0
Játék 90/1000 kész, eddig: Kezdő=35, Második=55, Döntetlen=0
Játék 91/1000 kész, eddig: Kezdő=35, Második=56, Döntetlen=0
Játék 92/1000 kész, eddig: Kezdő=35, Második=57, Döntetlen=0
Játék 93/1000 kész, eddig: Kezdő=36, Második=57, Döntetlen=0
Játék 94/1000 kész, eddig: Kezdő=37, Második=57, Döntetlen=0
Játék 95/1000 kész, eddig: Kezdő=38, Második=57, Döntetlen=0
